========================================
            TERRAIN REPORT
========================================

--- Configuration ---
Domain: Circle { radius = 4,00 }
Target Distance: 0.10

--- Results ---
Fitness: 1.000000
Total Points: 199

--- Chromosomes (Points) ---
[147] X: 2.5449 | Y: -1.8954
[148] X: 1.6668 | Y: 3.1107
[149] X: -3.7105 | Y: -0.1770
[150] X: 2.4942 | Y: 1.0580
[151] X: 2.3280 | Y: 2.1687
[152] X: 2.6277 | Y: 2.5954
[153] X: 3.4266 | Y: -1.7291
[154] X: -1.9835 | Y: 3.4334
[155] X: -3.7361 | Y: 0.3060
[156] X: 2.6219 | Y: -2.6112
[157] X: -1.3598 | Y: 3.1419
[158] X: -1.2260 | Y: 1.1226
[159] X: 2.3261 | Y: -1.3000
[160] X: -0.8457 | Y: 0.6211
[161] X: -0.6456 | Y: 1.6886
[162] X: -0.2097 | Y: -2.4067
[163] X: 2.1214 | Y: -0.0276
[164] X: -2.2778 | Y: 2.8422
[165] X: -0.7591 | Y: -2.5195
[166] X: -2.8803 | Y: -0.7532
[167] X: 2.4729 | Y: 3.0014
[168] X: -2.7993 | Y: -1.9516
[169] X: 0.3446 | Y: -1.0707
[170] X: -0.9319 | Y: 0.1065
[171] X: -0.7078 | Y: -0.4833
[172] X: -0.3226 | Y: -3.2925
[173] X: 1.3950 | Y: -1.3025
[174] X: 0.6516 | Y: 3.2401
[175] X: 1.9928 | Y: -1.0642
[176] X: -2.0219 | Y: -3.1843
[177] X: -0.2579 | Y: 3.9823
[178] X: -2.5932 | Y: -1.0699
[179] X: -1.4076 | Y: -2.2497
[180] X: -2.8195 | Y: -1.7157
[181] X: 0.3682 | Y: -1.6362
[182] X: -1.9063 | Y: -1.1610
[183] X: 1.6600 | Y: 0.3502
[184] X: 1.1048 | Y: 3.1005
[185] X: 1.9029 | Y: 3.4841
[186] X: 3.0927 | Y: 1.5793
[187] X: 2.1489 | Y: 0.9636
[188] X: 2.8070 | Y: 1.4501
[189] X: -0.9412 | Y: 2.0187
[190] X: 3.5302 | Y: 1.3157
[191] X: 0.5563 | Y: 3.8485
[192] X: 0.0593 | Y: -2.4114
[193] X: 0.7700 | Y: -3.2425
[194] X: -1.2294 | Y: -2.3508
[195] X: 2.4079 | Y: -0.2323
[196] X: 2.2947 | Y: 1.3032
[197] X: 1.9349 | Y: 2.4607
[198] X: 2.6029 | Y: -0.0397
----------------------------
End of Report.
